title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories,rating_value,rating_count,review_count
Baked Bao Bun with Lamb Filling (羊肉烤包子),"Intensely flavoured with spices and cooked to perfection, baked bao bun with lamb filling is super delicious. Follow my recipe and video to make them!",https://redhousespice.com/baked-bao-bun-with-lamb/,40m,30m,70m,12 buns,"[For the lamb] 150 g lamb, diced see note 1 ,1½ teaspoon cumin powder ,½ teaspoon dark soy sauce ,½ teaspoon sesame oil ,¼ teaspoon salt ,1 teaspoon cornstarch ,3 tablespoon water | [For the vegetables] 30 g lamb fat, diced or 1 tablespoon cooking oil, see note 2 ,2 medium onion, finely chopped ,1 teaspoon cumin seeds ,1 teaspoon chilli flakes ,1 small carrot, grated | [For the wrappers] 250 g all-purpose/plain flour see note 3 ,1 teaspoon instant dry yeast see note 4 ,¾ teaspoon baking powder ,1 teaspoon sugar ,130 ml lukewarm water adjust a little if necessary, see note 5 | [You also need] ½ tablespoon cooking oil ,Sesame seeds","[Marinate the lamb] 1) Put diced lamb into a bowl. Add cumin powder, dark soy sauce, sesame oil, salt, cornstarch and water. Mix until no liquid can be seen. | [Fry the vegetables] 1) Cook diced lamb fat in a wok over low heat until oil appears and the pieces brown. Discard them and keep the oil. | 2) Stir in onion. Fry until it slightly browns. | 3) Add cumin seeds, chilli flakes and carrot. Fry for one minute or so. | 4) Transfer to a plate to cool. Then mix with the marinated lamb. Set aside. | [Prepare the dough] 1) If kneading with a stand mixer : Add flour, yeast, baking powder, sugar and water to the bowl. Knead on low speed until a very smooth dough forms (about 8 minutes). | 2) If kneading by hand : Mix flour, yeast, baking powder and sugar. Add water gradually. Mix with chopsticks/spatula until no more loose flour can be seen. Combine and knead briefly into a dough. Leave to rest for 10 minutes (covered). Knead again until very smooth. | [Assemble the buns (please refer to my tutorial video below)] 1) Divide the dough into 12 equal pieces. Roll each piece into a disk-like wrapper. | 2) Place a spoonful of filling in the middle of a wrapper then fold into a bao shape. | 3) Place assembled bao buns into a baking tray (Brushed with a thin layer of oil or lined with parchment paper). | 4) Leave to rest for 30 minutes until they expand a little (see note 6). | 5) Brush a thin layer of oil on the buns. Sprinkle sesame seeds over. | [Bake the buns] 1) Preheat oven at 410°F/210°C/Fan 190°C. Place the baking tray on the middle rack. Cook for 18 mins. | 2) Then turn the heat up to 480°F/250°C/Fan 230°C. Cook for a further 3-5 mins. If you’re making these buns for the first time, be attentive not to burn them. Please feel free to adjust the time if necessary as different ovens perform slightly differently.",https://redhousespice.com/wp-content/uploads/2020/07/Baked-Bao-Bun-with-Lamb-Filling-17-scaled.jpg,Main Course,Chinese,"Bao, Lamb",,5.0,17.0,33.0
"Bao Buns, A Foolproof Recipe","This recipe is for making steamed, folded bao buns which are the simplest type to make at home. It introduces a single-proof method that consistently produces good results.",https://redhousespice.com/bao/,20m,10m,60m,8 to 12 buns,"[Ingredients] 300 g all-purpose flour see note 1 for substitutes ,1¼ teaspoon instant yeast see note 2 for substitutes ,1 teaspoon baking powder ,1 teaspoon white sugar ,165 g lukewarm water, or milk see note 3 ,Oil for brushing","[Prepare the dough] 1) Manual Method : In a large bowl, mix flour, instant yeast, baking powder and sugar (see note 2 if using dry active yeast or fresh yeast). Gradually add water/milk while stirring with chopsticks. Combine and knead by hand until a rough-looking dough forms. Rest for 10 minutes then knead for 2-3 minutes until it becomes very smooth. | 2) Stand-mixer Method : Add flour, instant yeast, baking powder, sugar and water/milk to the mixing bowl (see note 2 if using dry active yeast or fresh yeast). Mix and knead with a dough hook on low speed for 8-10 minutes until a smooth dough forms. | [Shape the bao buns] 1) Rolling pin method: Roll the dough into a rope. Divide into 8-12 equal pieces. Roll them into balls then flatten each with a rolling pin into an oval shape, about ⅕ inch (½ cm) thick (dust with flour when necessary to prevent sticking). Brush a thin layer of oil over half of the oval then fold over lengthways. | 2) Cutter method: Flatten the dough with a rolling pin into a rectangle, about ⅕ inch (½ cm) thick. Use a large round cutter to cut out circles, then roll each piece into an oval shape. Combine the leftover dough and repeat to cut out more (dust with flour when necessary to prevent sticking). Brush oil over half of the oval then fold over lengthways. | [Rest] 1) Line the steamer baskets with perforated parchment paper or silicone steamer liners (or oil the surface if using metal or plastic steamers). Place the bao buns over leaving enough space in between for expansion. | 2) Leave to proof for about 30 minutes (see note 4) until the buns become a little bigger, plumper and feel lighter in weight. | [Steam] 1) Add 2 cups (500ml) of water to the wok or pot that you use for steaming. Place the baskets on top (you may stack up several and cook all at once). Cover with a lid. | 2) Firstly, cook over high heat. As soon as the water starts to boil (when you see steam coming out through gaps), turn the heat to medium-low. From this moment, steam for 10 minutes. | [Store] 1) Once completely cool, store leftover buns in the fridge for up to 4 days or in the freezer for 2 months. Reheat by steaming them for 5 minutes if chilled or 7 minutes if frozen. | [Make ahead] 1) Cook them as instructed above then freeze them once cooled (It’s not recommended to freeze uncooked bao buns as the yeast dough doesn’t rise properly after freezing). | 2) Defrost them in the fridge overnight then steam for 5 minutes before serving. Or, reheat them without defrosting for 7 minutes.",https://redhousespice.com/wp-content/uploads/2022/12/plain-and-filled-bao-buns-2-scaled.jpg,Side Dish,Chinese,"Bao, Chinese bao, Chinese buns, steamed buns",145 kcal,5.0,174.0,227.0
"Char Siu Bao (BBQ Pork Buns, 叉烧包)","A tried-and-tested recipe for Char Siu Bao, a Chinese dim sum stuffed bun that’s famous for its fluffy, cotton-like wrapper and saucy Char Siu filling. A tutorial video are included.",https://redhousespice.com/char-siu-bao/,40m,15m,85m,14 bao,"[For the filling] ½ tablespoon neutral cooking oil ,½ onion, sliced ,120 g water ,2 tablespoon oyster sauce ,1 tablespoon Char Siu sauce see note 1 ,1 teaspoon dark soy sauce ,2 tablespoon tapioca starch (or corn starch), mix with 3 tablespoon water ,130 g Char Siu (Chinese BBQ pork) see note 2 | [For the dough] 350 g bao flour/cake flour, or all-purpose flour see note 3 ,2 tablespoon sugar ,2 teaspoon baking powder ,2 teaspoon instant dry yeast see note 5 ,1½ tablespoon neutral cooking oil ,180 g lukewarm water, adjust if necessary see note 4","[Prepare the filling] 1) Add oil to a pan. Fry onion until slightly golden. | 2) Pour in water. Then add oyster sauce, Char Siu sauce and dark soy sauce. Leave it to boil for 30 seconds. Use a slotted spoon to remove the onion. | 3) Turn the heat to the lowest. Mix the starch water very well then pour in. Stir constantly until the liquid turns into jelly. Transfer to a bowl to cool. | 4) Coarsely chop Char Siu into small pieces. Add to the jelly. Mix well and set aside. | [Make the dough] 1) IF USING HANDS: Mix flour, sugar, baking powder, yeast and oil in a bowl. Add water gradually while mixing with a pair of chopsticks/spatula. Combine with your hands to form a dough. Rest (covered ) for 10 mins then knead again until very smooth. | 2) IF USING A STAND MIXER: Add all the ingredients for the dough into the mixing bowl. Knead on low speed for about 8 mins until a smooth dough forms. | [Roll the wrappers] 1) Divide the dough into 14 equal parts. Work on one piece at a time and make sure you cover the rest to prevent it from drying out. | 2) With a rolling pin, flatten one piece into a disc-like wrapper, 9-10cm in diameter. Ideally, it should be thinner on the edge & thicker in the middle (See the rolling technique in the video below). | [Shape the bao] 1) Place a spoonful of filling (about 20g) in the middle of the wrapper. To ensure a “crack open” effect after steaming, follow the folding technique shown in the video below to seal the bao. Alternatively, pleat the bao using the regular method introduced in my recipe for “ Steamed Bao Buns, A Complete Guide ”. | [Rest the bao] 1) Repeat to finish all the wrappers and filling. Then place the bao into steamer baskets lined with parchment paper to prevent sticking (Alternatively, brush a thin layer of oil if using a metal/plastic steamer). | 2) Leave to rest for 30 minutes or so until they become very light & plump (no need to cover). | [Steam the bao] 1) Bring water to a full boil in a wok/pot. Place the steamer baskets in. Steam over medium-high heat for 10 mins. Serve immediately. | [Store & reheat] 1) You can make extra filling for later use and store it in the freezer for up to three months. | 2) It’s not recommended to store uncooked bao. Instead, cooked bao freeze very well. Consume within three months. | 3) To reheat: Defrost in the fridge then steam for 3 mins. Alternatively, steam for 6 mins without defrosting.",https://redhousespice.com/wp-content/uploads/2020/12/An-open-char-siu-bao.jpg,Main Course,Chinese,"Authentic, Bao, Buns, Cantonese, Dim Sum",169 kcal,5.0,82.0,120.0
"Chinese Doughnut Sticks (Youtiao, 油条)","A comforting breakfast staple loved by many, Chinese doughnut sticks (Youtiao) are light, airy and pleasantly chewy. Follow my recipe to make it at home without fail.",https://redhousespice.com/chinese-doughnut-stick/,20m,15m,155m,10 sticks,"[For the dough] 400 g all-purpose flour/plain flour ,2 teaspoon baking powder ,¼ teaspoon baking soda optional, see note 1 ,½ teaspoon salt ,2 eggs, lightly beaten, plus water combined to 250g see note 2 ,2 tablespoon neutral cooking oil plus some for coating | [You also need] Flour for dusting ,Oil for deep-frying see note 3","[Make the dough] 1) With a stand mixer: Add flour, baking powder, baking soda (if using), salt, the egg water mixture and oil into the bowl. Mix and knead on low speed for about 8 minutes. Rub a little oil on your hands (to prevent sticking) and remove the dough. | 2) Manually: use a silicon spatular to mix and combine all the ingredients into a rough-looking dough. Cover and rest for 15 mins. Coat your hands with oil (to prevent sticking). Use your fist to press the dough. Then use fingers to fold the dough from the side towards the centre. Repeat the movement until the dough becomes smooth (at this stage it should be soft but not sticky). | [Rest the dough] 1) Divide the dough into two equal portions. Shape each one into a smooth ball. Coat with oil then cover with cling film. | 2) Rest the dough for 2-4 hours at room temperature. Or, keep it in the fridge overnight. The next morning, wait for at least 1 hour until it comes back to room temperature. | [Shape the sticks] 1) Before handling the dough, start heating up the oil for deep frying. | 2) Transfer the dough pieces onto the work surface (or a chopping board) dusted with flour. Use your hands to flatten each piece into a rectangle shape (about 10×25 cm/4×10 inch). Remember not to knead it again but handle it gently. | 3) Lightly dust the dough with flour to prevent sticking. Then cut each piece into 10 equal strips. | 4) Lay one strip on top of another. Press the centre with a chopstick lengthways to stick them together. Repeat the procedure with the rest of the dough pieces (dust with flour where necessary). | [Fry the sticks] 1) Once the oil reaches 190°C/374°F (see note 4), turn the heat down to low. Gently stretch the dough then carefully lower it into the oil (be careful not to splash). | 2) When it comes up to the surface, roll it around continuously with a pair of chopsticks. Once the dough stops expanding and is evenly golden, transfer it to a plate lined with kitchen paper (to soak up excess oil). | 3) Repeat the procedure to cook the rest of the dough. You may cook two sticks at the same time, but do not fry more at once since this will decrease the oil temperature too much. | [Store & reheat] 1) Doughnut sticks taste best when warm. You may store leftovers in an airtight bag in the fridge for up to three days or in the freezer for 2 months. | 2) Reheat the chilled ones in a frying pan (without oil) over low heat until warm. Flip several times to heat evenly. | 3) For frozen ones, you may heat it up in the oven (preheated at 180°C/ 356°F) for 5 mins without defrosting. Or defrost first then warm up in a frying pan.",https://redhousespice.com/wp-content/uploads/2021/04/chinese-fried-dough.jpg,Breakfast,Chinese,Bread,230 kcal,5.0,73.0,153.0
Chinese Meat Pies (Xian Bing/馅饼),"With their juicy filling encased in golden wrappers and pan-fried to perfection, Chinese meat pies are a delightful staple that you simply must try.",https://redhousespice.com/chinese-meat-pies/,25m,15m,70m,8 pies,"[For the dough] 300 g all-purspose flour aka plain flour (see note 1) ,120 g hot water ,45 g room-temperature water (see note 1) ,2 tablespoon neutral cooking oil plus extra for coating | [For the filling] 300 g ground pork or beef/lamb ,6 stalks scallions finely chopped ,1 tablespoon minced ginger ,1 tablespoon light soy sauce ,1 tablespoon dark soy sauce ,1 teaspoon sesame oil ,¼ teaspoon ground Sichuan pepper or five-spice powder ,¼ teaspoon ground white pepper ,4 tablespoon water or unsalted stock | [For pan-frying] Neutral cooking oil","[Prepare the dough] 1) Put flour into a mixing bowl. Pour hot water over then mix with chopsticks. Add room temperature water and cooking oil. Stir well then combine and knead with hands. | 2) As soon as a cohesive dough forms (it doesn’t need to look smooth), cover it and let it rest for 20 minutes. | 3) Knead the dough again until it becomes smooth. Coat the work surface and your hands with a little oil to prevent sticking. Roll the dough into a log then cut it into 8 equal portions. | 4) Shape each piece into a ball, making sure it’s lightly coated with oil from your hands. Cover them with plastic wrap, then leave to rest for a further 10 minutes. | [Mix the filling] 1) While waiting for the dough to rest, prepare the filling by adding all the ingredients (meat, scallions, ginger, soy sauce, sesame oil, five-spice, white pepper, and water) into a mixing bowl. Stir with chopsticks in one direction until the mixture becomes sticky. | [Assemble] 1) Put a piece of dough on the work surface. Flatten it into a disc with your fingers, about ⅕ inch (½ cm) thick. | 2) Hold the wrapper with your non-dominant hand. Place ⅛ of the filling over the wrapper. Use the thumb and index finger of your dominant hand to pleat the dough to wrap the filling tightly, while using the thumb of your non-dominant hand to push the filling inwards. Seal the dough securely in the middle ( please refer to the video tutorial below ). | 3) Place the assembled pie on an oiled tray. Repeat the procedure to shape other pies. | [Pan-fry] 1) In a heavy-bottomed skillet/frying pan, heat oil enough to cover the surface. Gently put inthe stuffed dough balls and flatten them into discs with your fingers or a spatula, about 1 inch (2½ cm) thick (see note 2). | 2) Leave to fry over low heat until the first side becomes golden. Flip over the pies and cover the skillet with a lid. Fry until the other side browns. Flip again to further crisp the first side for 20 seconds or so. | [Make ahead] 1) Flatten stuffed dough balls into discs. Lay them over a tray and freeze until solid. Transfer frozen pies into airtight bags. Store in the freezer for up to 2 months. | 2) Without defrosting, pan-fry frozen pies in a little oil over medium-low heat, with the lid on all the time, until both sides turn golden.",https://redhousespice.com/wp-content/uploads/2024/02/chinese-meat-pies-xian-bing-scaled.jpg,Main Course,Chinese,"Chinese flatbread, stuffed flatbread",185 kcal,4.89,18.0,50.0
Chinese pork burger (Rou Jia Mo 肉夹馍),"A simple pan-baked flatbread stuffed with spiced pork belly, fresh coriander and chilli, Chinese pork burger is tangy, flavourful, moist and extremely comforting.",https://redhousespice.com/chinese-pork-burger/,20m,70m,90m,4 burgers,"[For the flatbread] 2 cups all-purpose flour ,½ cup water ,1 teaspoon instant yeast see note 1 ,1 teaspoon sugar ,1 teaspoon cooking oil | [For the meat] 1 lb pork belly ,5 slice ginger ,2 stalk scallions cut into sections ,1 star-anise ,1 bay leaf ,1 piece cassia cinnamon ,¼ teaspoon fennel seeds ,2 pieces clove optional ,½ teaspoon Sichuan peppercorns ,4 dried chilli ,1 tablespoon light soy sauce ,½ tablespoon dark soy sauce ,1 tablespoon Shaoxing rice wine ,½ tablespoon rock sugar or granulated sugar ,½ teaspoon salt | [You also need] 1 handful coriander ,4 fresh chili or to taste","[Prepare the dough] 1) Mix all the ingredients (including the oil). Knead with your hands or a stand mixer until a smooth, firm dough forms (see note 2). | 2) Cover the bowl with a wet kitchen towel then leave to rise until double in size (see note 3). | [Braise the pork] 1) Blanch the pork in hot water then drain. | 2) Put the pork and all the other ingredients into a pot. Fill with water enough to cover the meat completely. | 3) Bring the water to a boil. Then leave to simmer for at least 1 hour until the meat becomes very tender. | [Shape the bread] 1) Cut the dough into 4 equal pieces. | 2) Flatten one piece of dough into a long oval shape. | 3) Roll the dough into a cylinder. Stand the cylinder on one end. | 4) Press it down then flatten it with a rolling pin (about 4 inches/10cm in diameter). Repeat the procedure to finish other pieces of dough | [Cook the bread] 1) Place the dough into a frying pan over low heat (without any oil). Cover the pan with a lid. | 2) Flip the bread over when the first side becomes golden brown. | 3) Cook the second side with the lid on (see note 4). | [Assemble the burger] 1) When the bread is cool enough to handle, slice open from one side (do not cut through). | 2) Chop the pork, coriander and chilli into small pieces. Pour some broth onto the chopped meat. | 3) Stuff the bread with the filling mixture. | [Store & reheat] 1) If you don’t wish to serve the burgers right away, you can assemble them in advance then wrap each one tight in microwave-safe cling film. | 2) Reheat on full power for about 40 seconds in the microwave.",https://redhousespice.com/wp-content/uploads/2020/01/Chinese-pork-burger-foodgawker2.jpg,Main Course,Chinese,Bread,505 kcal,5.0,19.0,59.0
Chinese steamed eggs (蒸蛋羹),"Smooth, slippery and heavenly soft, Chinese steamed eggs requires minimum ingredients yet delivers a delicate look and flavour. Learn how to make it flawlessly.",https://redhousespice.com/chinese-steamed-eggs/,3m,10m,13m,2 servings,"[Ingredients] 2 eggs beaten ,Warm water double volume of the beaten eggs (see note 1 & 2) ,1 pinch salt ,1 teaspoon chive finely chopped (optional) ,2 teaspoon light soy sauce ,2 drop sesame oil | [Extra garnish (optional)] Prawns peeled and deveined ,Asparagus & carrot","[Instructions] 1) Pour warm water into the beaten eggs. Add salt then stir well. | 2) Through a sieve, pour the mixture into 2 small serving bowls. Sprinkle chive over if using. | 3) Cover the bowls with cling film. Pierce to allow the steam to escape. | 4) Steam for 10-12 minutes over a gentle heat (place the bowls in when the water starts to boil). | 5) Season with light soy sauce and sesame oil (if you wish, cut through the curd several times to let the sauce penetrate). Serve warm. | 6) If using extra garnish: Steam the egg as usual for 7 minutes, then place in prawns and vegetables. Steam for a further 3 minutes.",https://redhousespice.com/wp-content/uploads/2017/10/Chinese-steamed-eggs-landscape-1-1.jpg,Breakfast,Chinese,Eggs,76 kcal,5.0,218.0,315.0
"Peking Duck Pancakes (Chun Bing, 春饼)","Thin, soft and pliable, Peking duck pancakes can be easily made from scratch. They’re perfect wraps for any fillings of your choice.",https://redhousespice.com/easy-chinese-tortilla/,30m,15m,75m,16 pancakes,"[Ingredients] 360 g all-purpose flour (aka plain flour) ,230 g hot water (just boiled) ,1 tablespoon cooking oil for brushing","[Make and rest the dough] 1) Put flour into a heatproof bowl. Pour in hot water (soon after being boiled). Stir with a pair of chopsticks or a fork until small lumps appear and no more loose flour is left. | 2) As soon as cool enough to handle, knead the mixture into a soft, smooth dough (You may also use a stand mixer). | 3) Keep the dough in the bowl. Brush a thin layer of oil over it to avoid drying out. Cover the bowl with a lid and leave to rest for 30 minutes at room temperature. | [Prepare the dough pieces] 1) Briefly knead the dough again. Then cut it into four equal portions. Roll each portion into a cylinder then divide it into four pieces (You'll end up with 16 pieces). For best results, try your best to divide the dough as evenly as possible. | 2) Flatten each piece with the palm of your hand into a small disk. Brush the top of one disk with a layer of oil, then place another disk on top. Repeat to pile up every two dough pieces. | [Roll and cook the pancakes] 1) With a rolling pin, flatten one pair of disks until they measure about 18cm/7in (flip several times to ensure that two pieces of dough are evenly rolled out). If necessary, lightly oil the surface and the rolling pin to avoid sticking. | 2) Heat up a frying pan over medium heat. Transfer the rolled pancakes into the pan. Cover with a lid. As soon as air pockets appear, flip over to cook the other side. Be attentive and adjust the heat if needed. When the pan is too hot, the pancakes will burn easily. If it’s not hot enough, it will take longer to cook and the pancakes will be drier. It should take no more than 2 minutes to cook both sides. | 3) Transfer the cooked pancakes onto a plate. Cover with a kitchen towel immediately to keep them soft and pliable. | 4) To be efficient, follow a good workflow to cook the rest of the pancakes: While waiting for one pair to cook, roll out another pair. When the first pair is done, the second pair should be ready for the pan. | [Serve and store] 1) As soon as you finish cooking, separate all the double pancakes into single pieces (Don’t delay this step as they'll become difficult to separate once cooled). Serve them warm with fillings of your choice (check out the recipe for Roast Peking Duck ). | 2) Store leftover pancakes in airtight bags in the fridge for 3 days or in the freezer for 1 month or so. | 3) To reheat , Steam for 3 minutes if chilled or 6 minutes if frozen. You may also use an oven: Defrost first if frozen. Sprinkle a little water between each pancake. Then wrap them in aluminium foil. Put into a preheated oven at 180°C/350°F. Heat for about 6 minutes.",https://redhousespice.com/wp-content/uploads/2022/01/pan-baked-peking-duck-pancakes-scaled.jpg,Side Dish,Chinese,Bread,83 kcal,5.0,101.0,132.0
"Egg Fried Rice (蛋炒饭), A Traditional Recipe","Light, fluffy and tasty, Chinese egg fried rice is an easy stir fry that anyone can make. The key to success: use chilled cooked rice that's not overly sticky; stir fry over high heat for a short period of time.",https://redhousespice.com/egg-fried-rice/,5m,5m,10m,3 servings,"[Ingredients] 3 cups cold cooked white rice (see footnote 1) about 400g/14oz ,2 eggs ,1½ tablespoon neutral cooking oil divided ,2 cloves garlic, minced ,1 stalk scallions, finely chopped ,1 teaspoon light soy sauce or gluten-free soy sauce, tamari ,½ teaspoon sesame oil ,¼ teaspoon salt or to taste ,1 pinch ground white pepper","[Instructions] 1) Loosen the rice grains as much as possible with chopsticks or a spoon. Lightly beat the eggs until the whites and yolks are fully incorporated. | 2) Heat up an empty, well-seasoned wok over high heat until it becomes very hot (smoke rises). Pour in 1 tablespoon of oil then swirl it around to coat the side of the wok. N.B. See footnote 2 if using a cookware with non-stick coating . | 3) Pour in the egg. Once it begins to set at the bottom, stir to help the running part flow. Use a spatula to scramble quickly so that it turns into small pieces. Transfer out and set aside. | 4) Place the wok back on the burner. Add the remaining ½ tablespoon of oil. Fry garlic until fragrant then add the rice. Stir and toss continuously until the rice is piping hot. Use the spatula to break any clumps. | 5) Return the egg to the wok, along with scallions. Continue frying until everything is heated thoroughly. | 6) Season with light soy sauce, sesame oil, salt and white pepper. Give everything a good stir. Dish out and serve immediately.",https://redhousespice.com/wp-content/uploads/2021/10/authentic-egg-fried-rice.jpg,Side Dish,Chinese,"Eggs, Rice, Stir-fry",281 kcal,5.0,255.0,311.0
"Egg and scallion crepe (Ji Dan Bing, 鸡蛋饼)",A simple dish with great taste and texture. Check out this egg and scallion crepe recipe to learn the perfect batter ratio and cooking method.,https://redhousespice.com/egg-scallion-crepe/,3m,12m,15m,9 crepes (18 cm/7 inch),"[Ingredients] ¾ cup all-purpose flour 100g ,1 cup water ,3 medium eggs see note 1 ,¼ teaspoon salt ,⅛ teaspoon ground Sichuan pepper or white pepper/black pepper ,2 stalks scallions finely chopped ,Cooking oil optional if using a non-stick pan","[Prepare the batter] 1) Mix flour and water first until well combined (see note 2). | 2) Crack eggs into the mixture. Add salt, white pepper and scallions. Whisk until smooth. | [Cook the crepes] 1) Heat up a non-stick pan over medium-high heat. Pour in some batter and swirl to evenly cover the surface. To make an 18 cm/7 inch crepe, I use about 4 tablespoon of batter for each ( If using a pan without non-stick coating : coat it with a thin layer of oil each time before you pour in the batter). | 2) The first side is done when the crepe moves freely in the pan. Flip over to cook the other side. | 3) Transfer out when both sides are cooked (It takes me around 80 seconds). Repeat to finish the rest of the batter. | [Serve the crepes] 1) You may serve these crepes on their own, or with a sauce, e.g. Chinese chili oil , pickled chili garlic sauce , black bean sauce , sweet soy sauce, etc. | [Make ahead] 1) You may mix the batter the night before and leave it in the fridge. Stir very well before using. Cook the usual way. | 2) Cooked crepes freeze well. Store in air-tight containers and consume within 3 months. Defrost in the fridge then reheat briefly in a pan (or use a microwave).",https://redhousespice.com/wp-content/uploads/2020/09/Egg-scallion-crepe-10.jpg,Breakfast,Chinese,"Ji Dan Bing, Pancake",60 kcal,5.0,38.0,53.0
