title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories,rating_value,rating_count,review_count
Beoseot Gangjeong (Sweet Crispy Mushrooms),,https://www.koreanbapsang.com/beoseot-gangjeong-crispy-mushrooms/,10m,10m,20m,4 servings,"[Ingredients] 2 ounces dried shiitake mushrooms See note ,1/4 bell pepper red, orange or yellow or a combination ,1/4 cup potato starch or cornstarch ,oil for deep frying | [Sauce] 1 tablespoon soy sauce ,1 tablespoon gochujang (Korean red chili pepper paste) ,1 tablespoon vinegar (rice wine vinegar or any other clear vinegar) ,2 tablespoons rice syrup (jocheong, 조청), corn syrup, or oligodang (올리고당) or 1 to 1.5 tablespoons honey ,2 tablespoons rice wine (or mirin)","[Instructions] 1) Soak the dried mushrooms until they are plump and tender. This will take over 2 hours depending on the size of the mushrooms. | 2) Squeeze out the water from the soaked mushrooms, and then cut the mushrooms into quarters (or halves if small). Cut the peppers into small pieces. | 3) Add the potato (or corn) starch to the mushrooms, and massage them well to coat evenly. | 4) In a pan, add all the sauce ingredients, and stir well. Bring it to a boil. When it starts to bubble, reduce the heat to medium low, and simmer until it thickens slightly, about 4 minutes. | 5) Add oil to a heavy bottom pan, about 1/2 inch high. When the oil is sufficiently hot (about 320°F), drop the mushroom pieces in one at a time. Cook until light golden brown, 1 to 2 minutes. | 6) Remove and set them on a wire rack or a paper towel-lined plate. | 7) Reheat the oil to 320°F. Deep fry again until golden brown, about a minute. | 8) Heat the sauce over medium heat. Add the mushrooms and peppers, and stir well until the mushroom pieces are evenly coated.",https://www.koreanbapsang.com/wp-content/uploads/2020/10/DSC_3100-2.jpg,"Side Dish, Appetizer, Snack","Asian, Korean","mushrooms, Pork, sweet and sour sauce, beef, deep-fried, shiitake, sweet and sour sauce",,4.8,25.0,25
Bossam (Boiled Pork Wraps),Deliciously tender and moist pork belly served with crunch cabbage leaves and spicy radish salad!,https://www.koreanbapsang.com/bossam-boiled-pork-wraps/,10m,60m,70m,6 servings,"[For the wraps] tender inner parts of 1 napa cabbage, salted or red or green leaf lettuce ,(Dissolve 1/2 cup coarse salt in 4 cups of water, and soak the cabbage leaves until softened, 2 to 4 hours. Rinse and drain well.) ,Radish salad, musaengchae - See recipe . ,saewujeot (salted shrimp) use it as is or mix with a little bit of gochugaru, sesame oil and seeds, and chopped scallion | [For the meat] 2 whole fresh pork belly about 3-inch wide cut about 2.5 pounds ,1/2 medium onion ,2 - 3 white parts of large scallions ,7 - 8 plump garlic cloves ,1 inch ginger (thumb size), sliced ,1 teaspoon whole black peppers ,1.5 tablespoons doenjang, fermented soybean paste ,1 teaspoon instant coffee, or a cup of brewed coffee or a small bottle (or can) of beer - 12 ounces ,1 teaspoon salt ,2 bay leaves ,7 to 8 cups water (see note) if using brewed coffee or beer, reduce the amount of water by the equal amount","[Instructions] 1) In a pot, bring water and all the brine ingredients to a boil over medium high heat, and continue to boil for 5 minutes. | 2) Add the pork belly, bring it to a boil. and boil for about 5 minutes, uncovered. Reduce the heat to medium, and cook, covered, until the meat is very tender, 45 to 50 minutes. Cut a small slice and try if tender at 40 minute point before cooking longer. Turn the heat off, and cool the meat in the cooking liquid. This will keep the meat moist. | 3) Thinly slice the meat and serve with the salted cabbage (or lettuce), saewujeot, and musaengchae.",https://www.koreanbapsang.com/wp-content/uploads/2021/03/DSC8393-5.jpg,"Main, Appetizer, Snack",Korean,"boiled pork, bossam, pork belly",,4.56,69.0,69
Chicken Salad with Pine Nut Dressing,This simple chicken salad recipe is made with breast meat and a Korean pine nut dressing! It’s a healthy dish you can easily make and grab for a quick lunch.,https://www.koreanbapsang.com/chicken-salad-with-pine-nut-dressing-d/,10m,15m,25m,2 servings,"[Pine nut dressing] 4 tablespoons pine nuts ,1 tablespoon rice vinegar (or any clear vinegar) ,1 tablespoon lemon juice ,2 tablespoons water ,1 teaspoon hot mustard paste – gyeoja, 겨자 or dijon or yellow mustard if desired ,1 tablespoon sugar ,1/2 teaspoon minced garlic ,salt to taste about 1/2 teaspoon | [Poached chicken] 1 chicken breast 8 to 10 ounces ,1/4 medium onion ,1/2 stalk celery ,1/2 carrot ,3 garlic cloves ,1 bay leaf - optional | [To serve on a bed of salad vegetables] a handful spring mix or other salad vegetables of choice ,2 to 3 red radishes thinly sliced | [Or to toss with salad] 1/4 red bell pepper julienned ,1/4 yellow bell pepper julienned ,1 small Kirby cucumber cut lengthwise and then thinly sliced diagonally","[Instructions] 1) To make the dressing, toast the pine nuts in a pan over medium heat for 2-3 minutes. This will enhance the flavor. Grind the pine nuts in a blender or food processor (or finely mince them with a knife). Add the remaining dressing ingredients and blend well. Refrigerate while preparing the chicken and vegetables. | 2) In a medium size pot, bring 5 cups of water and the aromatic vegetables to a simmer over medium heat. Add the chicken breast and simmer over medium low heat for about 8 -10 minutes (increase the time if cooking more than 1 chicken breast). Remove the chicken and allow it to cool. | 3) When cool enough to handle, shred and lightly season with salt. Refrigerate while preparing vegetables. Wash salad vegetables in ice water and drain well. Cut them into desired sizes if needed. | 4) Combine the shredded chicken with the dressing, leaving a couple of tablespoons of dressing. | 5) Line the platter with the salad vegetables. Place the chicken salad in the middle. Drizzle with the remaining dressing, and garnish with a few pine nuts if available. | 6) OR thinly slice the optional vegetables and mix well with the chicken salad before serving.",https://www.koreanbapsang.com/wp-content/uploads/2010/10/DSC_4271-e1560136306974.jpg,"Salad, Appetizer, Snack",Korean,"chicken, chicken breast, chicken salad, pine nuts",,5.0,5.0,5
Korean-flavored Baked Chicken Wings,"These Korean-flavored chicken wings are oven baked, not fried, yet finger-licking delicious! The recipe includes two different marinades.",https://www.koreanbapsang.com/chicken-wings/,10m,30m,40m,4 servings,"[Ingredients] 24 wing pieces about 3 pounds for each marinade | [Spicy marinade] 4 tablespoons gochujang Korean red chili pepper paste ,4 tablespoons barbecue sauce any type ,2 tablespoons soy sauce ,2 tablespoons rice wine or mirin (or white wine) ,1 tablespoon sesame oil ,1 tablespoon honey ,1 tablespoon minced garlic ,1 teaspoon finely grated ginger ,1/4 teaspoon pepper | [Sweet and savory marinade] 1/2 cup soy sauce ,3 tablespoons rice wine or mirin ,1 tablespoon lemon juice ,2 tablespoons extra virgin olive oil ,2 tablespoons honey ,1 tablespoon brown sugar ,1 tablespoon minced garlic ,2 teaspoons grated ginger ,1/4 teaspoon pepper","[Instructions] 1) Rinse the chicken wings and drain the water. Mix all the ingredients for each marinade together. | 2) Combine the marinade with the chicken wings and coat all the pieces well. Cover and refrigerate for 2 to 4 hours (overnight for best results). Let them sit at room temperature for 30 minutes before cooking. Preheat the oven to 425°F (218°C). | 3) Line a baking sheet with aluminum foil. Place the chicken wings in a single layer and bake for 20 to 25 minutes until the skin is crisp and golden. Flip them over halfway through and baste/spoon the remaining marinade over each wing. Alternatively: Bake them at 400°F (204°C) for 15 minutes, flip them over, bake for another 15 minutes. Then, increase the oven temperature to 425°F, baste, and bake for another 10 minutes. This worked really well too. | 4) Turn them over halfway during baking and baste with the leftover marinade. Reduce the heat level if the wings are browning too quickly. (See notes.)",https://www.koreanbapsang.com/wp-content/uploads/2011/02/DSC7862-2-e1612739746742.jpg,"Appetizer, Snack",Korean,"chicken wings, Korean, marinades, oven-baked",,4.54,41.0,41
Dakgangjeong (Sweet Crispy Korean Fried Chicken),"Crispy Korean fried chicken pieces glazed in a sticky, sweet, and spicy sauce. This recipe uses bite sized boneless chicken pieces, so it cooks up very fast! The easiest Korean fried chicken recipe you can make!",https://www.koreanbapsang.com/dakgangjeong-sweet-crispy-chicken/,,,,4 servings,"[Ingredients] 1 pound boneless skinless chicken thigh and/or breast ,1/2 cup milk optional ,1/4 teaspoon salt ,pinch pepper ,1/2 teaspoon minced garlic ,1/2 teaspoon minced ginger ,1 tablespoon rice wine if not using milk ,⅓ cup potato starch (or corn starch) you can use more ,oil for deep frying | [Sauce] 1 tablespoon soy sauce ,3 tablespoons cooking rice wine Mirim (미림), Matsul (맛술), or Mirin ,2 tablespoons apple cider vinegar (or rice vinegar) or other clear vinegar ,1 tablespoon gochujang, 고추장 (Korean red chili pepper paste) Omit for a mild version and add 1 more tablespoon soy sauce (Also see note) ,3 tablespoons honey or oligo syrup (oligodang, 올리고당), rice syrup (jocheong, 조청), or corn syrup - use 4 tablespoons if using syrup ,2 teaspoons sesame oil ,2 tablespoons brown sugar ,1 teaspoon minced garlic ,1 teaspoon grated ginger ,pinch pepper | [Garnish] 1 to 2 tablespoons coarsely chopped peanuts or seeds","[Instructions] 1) Remove any visible fat. Cut the chicken into bite sized pieces. | 2) Soak the chicken pieces in milk for at least 30 minutes in the fridge. This step is optional. | 3) Drain well. Mix with the salt, pepper, rice wine (if you didn’t use milk) garlic, and ginger. Let it sit for 20 to 30 minutes. | 4) In a pan, add all the sauce ingredients, and stir well. Bring it to a boil. When it starts to bubble, reduce the heat to medium low, and simmer until it thickens slightly, about 3 to 4 minutes. Turn the heat off. | 5) Coat each chicken piece well with the potato (or corn) starch. | 6) Pour about 1 inch of oil in to a heavy bottom pan. Use a narrow and deep pan if available, When the oil is sufficiently hot (330°F), drop the chicken pieces in one at a time. Fry them in two batches. Overcrowding will drop the oil temperature too quickly. Cook until light golden brown, about 3 minutes. Remove and set them on a wire rack or a paper towel-lined plate. | 7) Reheat the oil to 330°F. Deep fry again until golden brown, about a minute or two. You can do the second frying in one batch. | 8) Heat the sauce over medium low heat. Add the chicken and stir well until the chicken pieces are evenly coated.",https://www.koreanbapsang.com/wp-content/uploads/2014/03/DSC5357_01-3-e1644534693866.jpg,"Appetizer, Snack",Korean,"dakgangjeong, fried chicken, KFC, Korean fried chicken, spicy, sweet and crispy, sweet and savory",,4.64,320.0,320
Dubu salad (Korean Tofu Salad),"A simple Korean tofu salad served with a soy based sauce. Simple, healthy and refreshing!",https://www.koreanbapsang.com/dubu-salad-korean-tofu-salad/,10m,10m,20m,2 servings,"[Ingredients] 1 package soft or silken tofu ,2 ounces spring salad mix | [Sauce (Yangnyeomjang)] 2 scallions (1 if large), finely chopped, about 1/4 cup ,1/2 teaspoon minced garlic ,2 tablespoons soy sauce ,1 tablespoon vinegar or lemon juice ,1 tablespoon rice wine (mirin, mirim (미림), or matsul (맛술)) ,1 teaspoon sugar or 2 teaspoons Korean plum syrup -maesilcheong, 매실청 ,1/2 teaspoon gochugaru (Korean red chili pepper flakes) Adjust to taste ,1 teaspoon sesame oil ,2 teaspoons sesame seeds","[Instructions] 1) Mix all the sauce ingredients in a small bowl. | 2) Wash the spring mix and drain. | 3) In a medium size pot, bring about 4 cups of water to a boil and add the tofu. Cover and boil for 5 minutes over medium heat. | 4) Carefully transfer the tofu to a colander to drain and cool. | 5) Cut the tofu into two blocks. Cut each block into about 1/2-inch thick slices. | 6) Spread some spring mix on a plate. Arrange the tofu slices on top of the spring mix. Drizzle the sauce over the tofu when ready to serve.",https://www.koreanbapsang.com/wp-content/uploads/2012/03/DSC7335-e1677997017565.jpg,"Salad, Side Dish, Appetizer, Snack",Korean,"Korean sauce, salad, silken tofu, tofu",,4.67,3.0,3
Gamjajeon (Potato Pancake),a simple Korean potato pancake,https://www.koreanbapsang.com/gamjajeon-potato-pancakes/,10m,10m,20m,2 servings,"[Ingredients] 1/4 medium onion - optional (see note) ,1-1/2 pounds potatoes (2 large or 3 medium) ,1/4 teaspoon salt ,2 ounces garlic chives (buchu, 부추) - Optional ,oil for pan frying | [Diping Sauce] 1 tablespoon soy sauce ,1 teaspoon vinegar ,1 tablespoon water ,1/2 teaspoon sugar ,pinch of black pepper","[Instructions] 1) Grate the optional onion (about 2 to 3 tablespoons). Place in a large bowl. Peel and grate the potatoes, capturing the liquid. If using a blender or food processor, grind the onion and potatoes together. | 2) Drain the grated potato in a bowl lined with a strainer, reserving the liquid. Immediately transfer to the bowl with the grated onion, and mix well with the optional onion to prevent discoloring of the potato. | 3) Let the reserved liquid sit for about 10 minutes. The starch in the liquid will sink to the bottom. Carefully pour out the water, saving the starch. Add the starch and salt to the grated potato along with the optional garlic chives. Mix well. | 4) Heat a skillet with two tablespoons of oil over medium heat. Add 1/2 of the batter, and spread it evenly into a round shape. You can make smaller pancakes if you like. Reduce the heat to medium to medium low, and cook until the bottom is light golden brown, about 2 to 3 minutes on each side. Repeat the process with the remaining batter. Serve hot with a dipping sauce.",https://www.koreanbapsang.com/wp-content/uploads/2015/04/DSC9846.jpg,"Appetizer, Snack","Asian, Korean","gamjajeon, pancakes, potatoes",,4.75,35.0,35
Gilgeori toast (Korean street toast),This veggie-packed Korean street toast is easy and delicious! Experience the streets of Korea with a few ingredients you most likely have in your fridge.,https://www.koreanbapsang.com/gilgeori-toast-korean-street-toast/,10m,5m,15m,1 servings,"[Ingredients] 2 slices bread (white, wheat, multi-grain, or milk bread) ,3 ounces green cabbage, yangbaechu (양배추) up to 4 ounces 1 cup, packed ,½ small carrot (about 0.5 ounces) ,¼ small onion (about 0.5 ounces) ,2 stalks garlic chives, buchu (or 1 small scallion) ,1 large egg see note ,salt and pepper to taste ,2 tablespoons butter (or margarine or olive oil), or to taste, divided ,sugar to taste Halmeoni Toast uses a heaping tablespoon ,ketchup to taste","[Instructions] 1) Thinly slice the cabbage, onion, and carrot. Cut the garlic chives into about 1.5-inch long pieces. If using a scallion, thinly slice diagonally. | 2) In a large non-stick pan, melt butter or margarine (use as needed or to taste) over medium heat. Place both slices of the bread, moving them around and flipping over. Toast until golden-brown, 1 to 2 minutes on each side. Transfer to a plate. | 3) In a small, deep bowl or cup (2-cup size), place the veggies (reserving about 1/5) along with a pinch of salt. Crack the egg in it. Mix everything well by hitting them down with a pair of tongs or a fork until the veggies and egg are well incorporated and reduced in volume, about 20 seconds. | 4) In the same pan, melt some more butter or margarine over medium heat. Add the egg and veggie mixture, flattening and shaping it to a large round with a spatula. Place the reserved veggies on top. Cook the mixture until it turns lightly golden, about 3 minutes. Carefully flip it over with a spatula, add more butter or margarine, and cook the other side for about 2 minutes. | 5) Place the omelet on one piece of toast. Sprinkle it with sugar and top with a good squirt of ketchup to taste, and place the other slice of bread on top and serve.",https://www.koreanbapsang.com/wp-content/uploads/2022/02/DSC4264-2.jpg,"Breakfast, Appetizer, Snack",Korean,"bread, cabbage, egg, gilgeri toast, ketchup, street toast, toast",,4.94,16.0,16
Glazed Korean Meatballs,,https://www.koreanbapsang.com/gogi-wanja-jorim-glazed-korean/,30m,15m,45m,3 servings,"[For the meatballs] 1/2 pound ground beef ,1/2 pound ground pork ,4 to 5 fresh shiitake or any mushroom caps, finely chopped ,1/4 medium onion finely chopped ,2 scallions finely chopped ,1 egg yolk ,1 tablespoon soy sauce ,2 teaspoons minced garlic ,1 teaspoon finely grated ginger ,salt about 1/4 teaspoon and pepper to taste ,1/2 cup cornstarch or flour for dredging | [For the sauce] 1 tablespoon sugar ,3 tablespoons soy sauce You can replace with 1 TB gochujang for a little spicy kick ,3 tablespoons rice wine or mirin ,3 tablespoons water ,2 tablespoons corn syrup oligodang ,2 plump garlic cloves thinly sliced ,1 inch piece ginger thinly sliced | [Optional garnish] chopped peanuts or pine nuts ,chopped scallion","[Instructions] 1) Finely chop the mushrooms, onion, and scallions. Combine all the meatball ingredients well by hand until evenly blended. | 2) Shape the mixture into about 1 1/4-inch balls. Dredge the meatballs in the cornstarch or flour to lightly coat. | 3) Heat a tablespoon of oil in a pan over medium heat. Add half of the meatballs to the pan. Turning as necessary, fry until all sides are golden brown but not cooked through, about 5 minutes. The meatballs will finish cooking in the sauce. Remove from the pan and repeat with the remaining meatballs. | 4) Add all the sauce ingredients to another pan. Boil over medium heat until the sauce is slightly thickened, about 3 – 4 minutes. | 5) Add the meatballs to the sauce and simmer until the sauce becomes a thick glaze, turning to coat evenly, about 5 minutes. Sprinkle with the optional garnish. Serve warm with your choice of vegetables.",https://www.koreanbapsang.com/wp-content/uploads/2012/03/DSC7334-e1576472595743.jpg,"Appetizer, Main, Snack",Korean,"finger food, Korean meatballs, meatballs, party food",,4.57,30.0,30
Gyeran mari (Korean rolled omelette),"This Korean rolled egg recipe is made with chopped carrot and scallion! It’s a popular side dish, especially for a lunch box!",https://www.koreanbapsang.com/gyeran-mari-korean-rolled-omelette/,10m,5m,15m,2 servings,"[Ingredients] 3 large eggs You can use 5 or more eggs for thicker rolls ,1 or 1.5 tablespoons finely chopped scallion ,1 or 1.5 tablespoons finely chopped carrot ,Salt to taste about ⅛ ,Pinch black pepper ,vegetable oil for frying","[Instructions] 1) Finely chop the scallion and carrot. | 2) Crack and beat the eggs, in a bowl with a spoon, a fork, or a pair of chopsticks until the yolks and whites are blended well with no visible strings of whites. Stir in salt and pepper. | 3) Stir in the chopped vegetables. | 4) Add a teaspoon of vegetable oil to a medium size non-stick pan and distribute the oil evenly using a napkin or paper towel. Preheat over medium low heat, until it feels hot when you place your hand 2 to 3 inches above the bottom of the pan. | 5) Add 1/2 of the egg mixture to the pan. Swirl it around to cover the pan. Let it cook until the top begins to set but is still wet. | 6) Using a spatula, lift one end of the egg (about 1-1/2 inches) and fold it over to the other side. Reduce the heat or raise the pan away from the heat for a little while if the bottom is browning. | 7) Lift the folded part and fold it again. Pull the egg to the rolled side, making room on the round end for more egg mixture. Add 1/2 of the remaining egg and spread to cover the open space. | 8) When the egg addition is set, lift the folded part and fold it again. Pull the egg to the rolled side and repeat the process with the remaining egg to make an about 2-inch egg log. | 9) Remove from the pan and let cool for about 5 minutes. Slice the egg into thick, even pieces (3/4 to 1-inch thick).",https://www.koreanbapsang.com/wp-content/uploads/2012/04/DSC_1161-2-e1572196812457.jpg,"Side Dish, Appetizer, Snack","Asian, Korean","gyeran mari, Korean rolled eggs, Rolled omelette",,4.96,44.0,44
