title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories,rating_value,rating_count,review_count
Bánh Cuốn (Vietnamese Rice Rolls),There's nothing like warm sheets of bánh cuốn fresh off of the steamer. This recipe shows you how to steam these and fill them with classic pork and veggie filling.,https://www.hungryhuy.com/banh-cuon/,30m,60m,90m,4 servings,"[Rice flour batter] 200 g rice flour ,40 g tapioca starch ,40 g potato starch ,1320 g filtered water ,1 tsp salt ,3 tbsp neutral cooking oil for wrapping cooked bánh cuốn | [Filling] 15 g dried woodear mushroom ,filtered hot water ,2 tbsp neutral cooking oil ,127 g onion peeled and finely chopped ,300 g ground pork ,1 tsp salt ,1/2 tsp MSG (monosodium glutamate) ,1 tsp ground pepper ,172 g jicama peeled and finely chopped ,29 g green onions optional | [Sides] crunchy Japanese or Persian cucumbers ,bean sprouts blanched ,fried shallots ,cha lua (Vietnamese pork sausage) ,mint chopped ,fish sauce-based dipping sauce nước chấm","[Batter prep] 1) Combine all flours into a large bowl or container with the water. Mix to combine and soak for eight hours or overnight. | 2) With a ladle, carefully remove and discard half of the water (660g if you didn't scale the recipe) making sure to NOT disturb the flour. | [Filling] 1) Hydrate the dried woodwear mushrooms in filtered hot water until fully hydrated, about 30 minutes. Rinse and finely chop. Peel and finely chop the onion. Peel and finely chop the jicama. Squeeze the chopped jicama by hand to remove as much moisture as you can. Set aside in a prep bowl. | 2) Heat a pan over medium heat, then add oil and onion. Saute until lightly browned. Then add pork, salt, MSG, and pepper to the pan then saute on medium, continually separating the pork so it's not clumped and cooks more evenly. | 3) When the pork is 80% done, add jicama and saute until there's almost no more water at the bottom of the pan (this takes a few minutes). Add mushrooms and saute to heat it up, and so it still maintains is slight crunch, about 2-3 minutes. | 4) If using green onions, add now and shut off the heat. Mix to combine and reseason to taste. | [Steaming the Bánh Cuốn] 1) Just before you're ready to cook, add the salt to the batter and mix to thoroughly combine. | 2) Place your steamer pot on the stove filled 2/3 of the way with water and get it boiling on max heat. | 3) Stir the bowl of batter EVERY time just before taking a ladle out to make sure the flour and water is mixed evenly. Pour a thin layer onto the steaming screen and quickly spread out the batter out evenly. It may pool in the center if the fabric isn't fully taut, so don't let it. You can tell that you've taken too long to spread the batter if the ladle starts to stick to the steaming cloth. | 4) Close the lid and let it steam for about 40 seconds, open the lid and check. When you open the lid, you know it's done when the cake is starting to bubble on the fabric. Its also more clear after cooking and not as white. | 5) Remove the rice cake. Use your stick to dig under one side of the circle in about 2 inches and lift up from left to right. The first few are typically not as good as the steamer fabric is still priming, so don't judge the result until you get to your 3rd one. | 6) Now's the time to adjust the batter. If the final steamed roll is too thick, add 1-2 tbsp cold water to the batter. If it's too thin you can add 1 tbsp rice flour. It's too thin if you can't spread the batter to make a sheet without any holes. It's too thick if it doesn't spread easily and is unwieldly to remove from the screen. | 7) Lay it on an oiled plate or tray (oiling each time before laying down bánh cuốn so it doesn't stick) | 8) Here's one way to make longer bánh cuốn quickly. Remove the rice sheet from the stick by cutting it along the stick length with a spoon or knife. Add about 1 full tsp of filling into each sheet, and fold about 1/4 of the way in. | 9) Continue folding it over about 3 times total until the sheet runs out. Repeat until you run out of batter, remembering to stir the bowl thoroughly before lading out each batch.",https://cdn.shortpixel.ai/spai2/q_glossy+ret_img+to_auto/www.hungryhuy.com/wp-content/uploads/banh-cuon-w-herbs-sauce.jpg,"Dinner, Lunch",Vietnamese,"brown rice, pork, rice paper",,5.0,8.0,13.0
Bánh Khọt (Vietnamese Mini Savory Pancakes),Learn how to customize these extra crispy and delicious bánh khọt at home.,https://www.hungryhuy.com/banh-khot/,15m,70m,85m,6 servings,"[Filling] 7 oz shrimp peeled and deveined. size: 61-70 ,7 oz pork butt minced ,½ tsp kosher salt ,¼ tsp white pepper ,1 c scallions green parts only thinly sliced ,neutral oil | [Batter] ¾ c rice flour ,½ c all-purpose flour ,1 tsp turmeric ,½ tsp kosher salt ,7 fl oz water ,7 fl oz sparkling water ,7 fl oz coconut cream ,neutral oil for frying | [Assembly] leafy greens green leaf lettuce, romaine ,herbs mint, basil, perilla, cilantro ,Vietnamese pickled carrots & daikon radish (đồ chua) ,Vietnamese fish sauce (nước chấm)","[Preparing batter & filling] 1) In a bowl, combine the filling: 7 oz shrimp , 7 oz pork butt , ½ tsp kosher salt , ¼ tsp white pepper , and 1 c scallions . Mix together until the meat is well-seasoned. Set aside to marinate for at least 10 minutes. | 2) In another bowl, combine the ¾ c rice flour , ½ c all-purpose flour , 1 tsp turmeric . Stir until well incorporated. | 3) Add the 7 fl oz water , 7 fl oz sparkling water , 7 fl oz coconut cream , and ½ tsp kosher salt in a large mixing bowl. | 4) Sift the dry ingredients into the large mixing bowl. Stir until there are no lumps and set aside for 10 minutes to bloom the flour. | 5) Preheat a saute pan over medium heat. It will take about 3-5 minutes to heat up the cast iron thoroughly. You can test with a drop of water to see if it lightly sizzles. If it instantly evaporates, your pan may be too hot. | 6) Add about 1 tbsp of neutral oil to a saute pan. Add the marinated meat and saute for 3-5 minutes or until the pork and shrimp are opaque and firm. Transfer to a plate and set aside. | [Frying the bánh khọt] 1) Preheat the cast-iron pan over medium-high heat. Add about 1/2 to 1 tsp of neutral oil to each hole. | 2) Pour batter into each hole to ⅔ the way up. Swirl the batter lightly around. | 3) Quickly add the filling into each hole. We like to add at least one shrimp and a few pieces of pork for each hole. | 4) Cover with lid and cook for 2 minutes. | 5) Remove the lid, pour oil around each edge of bánh khọt, and cover with the lid again. Cook for an additional 2-3 minutes. | 6) Uncover and use a pin stick or fork to release each bánh khọt. | 7) Cook uncovered for an additional 3-4 minutes or until the bottoms are golden brown and crispy. Move the bánh khọt occasionally and check to see the coloring on the bottom. | 8) As each bánh khọt is finished, transfer to a cooling rack for 1-2 minutes before serving. | [Assembling each bite] 1) To serve, take one of the leafy greens and layer with other fresh herbs . | 2) Place one bánh khọt in the center of the greens. | 3) Add Vietnamese pickled carrots & daikon radish (đồ chua) on top and fold the greens to cover the fillings. | 4) Dip the wrapped bánh khọt into Vietnamese fish sauce (nước chấm) and eat.",https://cdn.shortpixel.ai/spai2/q_glossy+ret_img+to_auto/www.hungryhuy.com/wp-content/uploads/banh-khot-icon.jpg,"Appetizer, Lunch, Snack",Vietnamese,"banh xeo, pancakes, Vietnamese crepes",275.38 kcal,,,
Chinese Donut Recipe (Youtiao / Dầu Cháo Quẩy),Learn how to make extra crunchy and light youtiao at home with this recipe. You’ll have fresh and piping hot Chinese crullers at the palm of your chao bowl sooner than you think!,https://www.hungryhuy.com/chinese-donut-youtiao-recipe/,30m,15m,525m,6 donuts,"[Ingredients] 220 g all purpose flour ,5 g baking powder ,1.6 g kosher salt ,1.4 g baking soda ,50 g egg ,12.3 g vegetable oil plus more for resting ,89 g filtered water ,neutral cooking oil for frying (preferably vegetable oil)","[Instructions] 1) In a medium bowl, weigh out all the dry ingredients and stir to combine. | 2) In a large mixing bowl, measure and add all the wet ingredients then mix to combine. | 3) Stir in the dry ingredients and mix until it’s formed a ball. Cover the ball with a towel or bowl and let it rest for 20 minutes at room temp. | 4) Transfer the dough to a very lightly floured surface or cutting board. Knead the dough with the heel of your hand and push the dough upwards. Turn the dough 45 degrees and repeat the kneading method about 3 or 4 times until the dough is slightly smoother. Try not to add too much flour at this point or work the dough too much. | 5) Use both hands to cup the dough and move the dough in circles until it forms a ball. | 6) Drizzle vegetable oil (about 1 tbsp) in an airtight container. Place the dough in the container and move it around so it’s covered in oil. Cover with a lid and place it in the fridge to rest overnight or up to 2 days. | 7) Remove from the fridge at least 1 hour before you want to cook to let it come to room temperature. | 8) Fill a pot with neutral cooking oil about 2 inches from the bottom and pre-heat it to 390 °F. | 9) Flour a flat surface very lightly. Take the dough and carefully stretch it out about 6-8 inches wide and place it on the floured surface. | 10) Take a rolling pin and and roll the dough in the same direction (horizontally) until it’s about 13 inches wide and 5-6 inches tall. | 11) Use a knife to evenly make 12 vertical strips of dough. You can choose to cut the rounded sides before making these strips. | 12) Sprinkle a little more flour on top of the strips and then layer one strip of dough to another. Repeat until you have 6 pieces. | 13) Take one chopstick and make an indent in the center of one strip of dough vertically. Press firmly and release. It should concave in the middle. Repeat until all youtiao are indented. | 14) Lift on youtiao and hold the sides and bottom with your fingers. I like to use my index and ring fingers to carry the bottom of the youtiao while holding the edges with my pointer finger and pinky. Gently pull the youtiao until it’s about 3-4 inches longer than the original size. I only pull the youtiao RIGHT before I lower it into the oil so that it doesn’t dry out or end up sticking too much to each layer (this can prevent it from puffing up). | 15) Carefully lower the youtiao into the oil and watch as it rises to the top. Let it fry for about 5 seconds once it rises, then use tongs to repeatedly turn it in the oil to fry. The youtiao should begin to puff up and double in size immediately. Cook for about 1-2 minutes or until it’s golden brown. | 16) Transfer to a paper towel lined cooling rack. | 17) Repeat steps 11-13 with the rest of the youtiao and serve.",https://cdn.shortpixel.ai/spai2/q_glossy+ret_img+to_auto/www.hungryhuy.com/wp-content/uploads/youtiao-sq.jpg,"Appetizer, Breakfast, Side Dish, Sides, Snack, Soup","Asian, Chinese, Vietnamese","cruller, donuts, doughnuts, fried dough",163.5 kcal,5.0,5.0,5.0
Crispy Fried Garlic Chips (Tỏi Phi),"Ultra crispy and fragrant fried garlic pieces adding texture to any dish--this recipe will give you the best ingredient with a bonus, garlic oil.",https://www.hungryhuy.com/fried-garlic-chips/,5m,10m,15m,1 cup,"[Ingredients] 100 g garlic sliced or chopped ,neutral cooking oil vegetable oil preferred","[Instructions] 1) Slice or chop your garlic cloves in your desired shape. I like using a mandolin with a cut-proof glove to get ultra-skinny slices, but be careful if you don’t have a glove. | 2) Deep-frying: Use about 1 ½ inch of oil from the bottom of your pot and heat it up to about 300 °F. (I used about 2 cups of vegetable oil for my 3.5-quart pot). Add your garlic and swirl to ensure all the garlic is properly coated and cook until it’s lightly golden brown, about 3-5 minutes. Do not leave the pot unattended because it goes from pale to brown quickly. Transfer to a paper towel to drain. | 3) Pan-frying: Use a small pan to combine the garlic and just enough oil to cover the garlic. Pan-fry until they are slightly golden brown (they continue to brown and cook after you transfer them), about 3-5 minutes, and move them onto a paper towel to drain. | 4) Serve the fried garlic fresh after it’s cooled to the touch. | 5) You have the option to save the deep-frying oil once it’s cooled down for later use. (Note: if you end up burning the oil from too much deep-frying you should not reuse this oil. Signs of burned or overused oil are dark brown coloring and smells burned).",https://cdn.shortpixel.ai/spai2/q_glossy+ret_img+to_auto/www.hungryhuy.com/wp-content/uploads/fried-garlic-sq2.jpg,"Ingredients, Snack","Asian, Vietnamese","fried garlic, garlic",149 kcal,5.0,2.0,2.0
"Grilled Clams (Vietnamese Style w/ Onions, Peanuts and Garlic)",This smoky Vietnamese grilled clam recipe is super simple to follow and will please everyone at your next dinner party. It’s simple to whip up and you can customize it based on your preferred toppings.,https://www.hungryhuy.com/grilled-clams-recipe/,10m,10m,50m,4 servings,"[Clams] 2 lb blood clams or preferred clams ,6 c cold water for soaking clams ,3 tbsp salt ,6 c filtered water for cooking clams | [Seasoning / Mở hành] 2 stalks scallions sliced thinly ,3 tbsp vegetable oil ,½ tsp salt | [Sides] salt to taste ,pepper to taste ,rau ram Vietnamese coriander ,1 tbsp fried garlic ,1 tbsp roasted peanuts chopped ,limes slices optional ,chile peppers optional","[Clams] 1) Under running water, use a stiff brush to scrub and clean the clams. | 2) In a bowl, combine cold water and salt. Stir until the salt dissolves. Add the clams and let them sit for 25 minutes. If there is a lot of sand coming out, repeat this process until there is no sand coming out of the clams. Remove the clams from the bowl and run them over clean water one more time to rinse. | 3) Fill a saute pan with water over medium-high heat, and add the clams. Once the water begins to boil, bring the heat to medium and cook until the clams open (about 8-10 minutes). | 4) Transfer the clams to a plate and let them cool for about 3 minutes or until you are able to handle them with your hands. | 5) Use your hands to remove one half of each shell, and disloge the clam meat from the shell, putting it back in the shell. | [Seasoning / Mở hành] 1) Wash and thinly slice the scallions. | 2) In a saucepan, heat oil over medium heat. Add all the sliced scallions, cook for about 30 seconds or until softened and fragrant. Stir in the salt. | 3) Remove from heat. | 4) Season with salt and pepper based on your preference. | [Assembly] 1) Combine the chopped clam meat with the sauce in a bowl. | 2) Scoop the clam meat and sauce mix in half of a clamshell. Until all the clam meat is placed in the shells. | 3) Over a grill in medium heat, place the clamshells with the meat on the grill and cook just enough to heat up and hit a boil, then remove from the grill. | 4) Serve with any of the sides to your liking!",https://cdn.shortpixel.ai/spai2/q_glossy+ret_img+to_auto/www.hungryhuy.com/wp-content/uploads/grilled-vietnamese-clams.jpg,"Appetizer, Side Dish","Asian, Vietnamese","bbq, chargrilled, seafood",136.16 kcal,5.0,1.0,3.0
Hainanese Chicken Rice,Making Hainan chicken rice at home is an induglgent and cozy meal to serve to friends and family.,https://www.hungryhuy.com/hainanese-chicken-rice/,30m,120m,150m,4 servings,"[Chicken] 4-5 lb whole chicken ,2 tbsp kosher salt Diamond Crystal brand preferred | [Poaching stock] 18 c water enough that the chicken is floating ,5 tbsp kosher salt enough so that it’s salty / Diamond Crystal brand preferred ,1 tbsp whole black peppercorns ,½ c sliced ginger with skin ,¼ c smashed garlic cloves ,4 scallion roots only the white parts ,1 bunch cilantro with stems | [Finished chicken] water ,ice ,1 tbsp roasted sesame oil | [Chicken rendered] ¼ c chopped chicken fat and skin collected from neck and tailbone ,water enough to cover the fat and skin ,½ tbsp minced ginger ,½ tbsp minced garlic ,neutral oil if necessary | [Rice] 2 tbsp rendered chicken fat from above with fried ginger and garlic ,2 c white Jasmine rice ,2 c chicken stock from poaching liquid ,¼ tsp kosher salt to taste / Diamond Crystal brand preferred ,pandan leaf optional | [Ginger scallion sauce] 1 inch ginger peeled and sliced ,5 cloves garlic ,4 scallions minced whites separated from greens ,6 tbsp neutral oil ,½ tsp kosher salt to taste ,⅛ tsp white pepper to taste | [Sweet soy sauce] 2 tbsp dark soy sauce ,2 tbsp crushed rock sugar ,2 tbsp water | [Chili sauce] ¼ c Sambal Olek or your preferred chili sauce ,1 tbsp rice vinegar ,½ tsp kosher salt Diamond Crystal brand preferred ,¼ tsp cane sugar ,½ inch ginger peeled and sliced ,2 cloves garlic ,chilis optional | [Optional garnishes] chicken cracklins from above ,sliced cucumbers ,cilantro ,sliced scallions from leftover green parts above","[Prepping chicken] 1) Remove the tail and excess fat from the 4-5 lb whole chicken and set aside. | 2) Dry chicken with paper towels. | 3) Rub 2 tbsp kosher salt all over the chicken to clean. Set aside while you do the stock. | [Poaching stock] 1) In the stock pot, add all the poaching ingredients: 4-5 lb whole chicken , 18 c water , 5 tbsp kosher salt , 1 tbsp whole black peppercorns , ½ c sliced ginger , ¼ c smashed garlic cloves , 4 scallion roots , and 1 bunch cilantro with stems . | 2) Bring to a simmer at a temperature of 170°F. | 3) Hook the chicken and slowly lower it in the water. Make sure the poaching liquid also goes inside the carcass. Face the chicken so that the chicken breast faces upwards to prevent overcooking. | 4) Poach the chicken until the breast measures at 155°F with a thermometer. | 5) Things to remember: keep the poaching liquid at a maximum of 170°F and lift the chicken gently with the poultry hook (or tongs on the legs) to prevent breaking the skin. | [Finishing chicken and broth] 1) Remove the chicken from the poaching liquid once the chicken breast measures 155°F and place it in a water and ice bath until the chicken feels cool to the touch, or measures at 135°F. | 2) Remove from water and let dry for a few minutes on a cutting board. | 3) With your hands, coat the chicken generously with 1 tbsp roasted sesame oil . This will prevent oxidation and browning. | 4) Remove all the original poaching ingredients from the liquid by using a strainer. Reserve stock for rice and soup. Set aside. | [Carve the chicken into 8 pieces] 1) Face the chicken breast side up with the drumsticks facing towards you. | 2) Cut the skin and meat in between the drumstick/thigh and the chest. When you reach the bone, use your hands to gently bend the drumstick/thigh backward so that the hip joint is exposed. Use the knife to cut through the joint and release the drumstick/thigh from the body. Repeat on the other drumstick. | 3) Separate the thigh from the leg by cutting through the joint. | 4) Locate the center of the breast where it indents and position your knife so it’s slightly off-center on the left or right. Slice the meat until you reach the bone gently use the breast bone rib as a guide and continue to cut the breast meat. Repeat on the other side of the breast. | 5) To remove the whole wings, slice through the joint that attaches the wing to the body. Repeat on the other side. | 6) Place the sliced chicken pieces on a plate and cover with foil or a towel to prevent them from drying out. | [Rendering chicken fat + frying ginger & garlic] 1) Put ¼ c chopped chicken fat and skin in a small pan. Add enough water so it barely covers the fat and skin. | 2) Cook over medium heat as the water begins to boil off and the fat starts to render oil and fry the chicken skin. | 3) Here's how it will look in the pot when it's finished. | 4) Once the skin is golden brown and crispy, transfer it to bowl and set aside. | 5) In the remaining oil, add the ½ tbsp minced ginger and ½ tbsp minced garlic to fry on medium heat. | 6) Fry until lightly brown then remove from the heat. You should have at least 2 tablespoons of rendered chicken fat, but if you don’t, just add more neutral oil until it's about 2 tablespoons then mix. | [Cooking rice] 1) Add the 2 tbsp rendered chicken fat with ginger and garlic to the rice pot with 2 c white Jasmine rice and ¼ tsp kosher salt . Mix thoroughly. | 2) Add 2 c chicken stock from the reserved chicken broth and mix again. Option: you can add a pandan leaf on top. | 3) Cook rice on the Jasmine or white rice setting on your rice cooker. Here's what it will look like when finished. | 4) Once finished, use a spatula to fluff the rice before serving. | [Ginger scallion sauce] 1) Add 1 inch ginger , 4 scallions , and 5 cloves garlic to a food processor. | 2) Transfer to a saute pan over medium heat. Saute with 6 tbsp neutral oil until aromatic, about 30 seconds. | 3) Add green scallions and continue sauteing briefly. | 4) Turn off the heat and add ½ tsp kosher salt and ⅛ tsp white pepper to taste. | [Sweet soy sauce] 1) In a small saute pan over medium heat, combine all the ingredients: 2 tbsp dark soy sauce , 2 tbsp crushed rock sugar , and 2 tbsp water . | 2) Stir until the rock sugar is completely melted. | 3) Cook for 3-4 minutes or until the consistency is similar to light maple syrup (see photo). Remove from heat and set aside. It should thicken as it cools. | [Chili sauce] 1) In a food processor, add all the ingredients: ¼ c Sambal Olek , 1 tbsp rice vinegar , ½ tsp kosher salt , ¼ tsp cane sugar , ½ inch ginger , 2 cloves garlic , and chilis . | 2) Process until blended completely. Taste test and adjust any ingredients based on your preference. | [Serving a plate of Hainan chicken] 1) Ladle the chicken broth onto a bowl and add scallions on top. | 2) On a plate, add the rice and place sliced chicken on top. Sprinkle chicken cracklins from above , sliced scallions (green part leftover), and cilantro on top of the rice and chicken. Add sliced cucumbers on the side. | 3) Serve chicken rice with the ginger sauce, chili sauce, and sweet soy sauce.",https://cdn.shortpixel.ai/spai2/q_glossy+ret_img+to_auto/www.hungryhuy.com/wp-content/uploads/hainan-chicken-icon.jpg,"Dinner, Lunch, Main Course","Asian, Chinese, Singaporean","comfort meal, moms cooking",1304.78 kcal,5.0,1.0,3.0
Hot Pot Dipping Sauces,Learn how to make your own hot pot dipping sauces the next time you share a simmering pot of broth with friends and family.,https://www.hungryhuy.com/hot-pot-dipping-sauces/,10m,10m,10m,1 servings,"[Goma garlic dipping sauce] 2 tbsp goma ,1 tbsp ponzu ,1 tbsp oyster sauce ,½ tsp black vinegar ,½ tsp minced garlic ,1 tbsp fried shallots ,2 tsp chili garlic crunch ,2 tbsp sliced scallions | [Taiwanese dipping sauce] 2 tbsp shacha sauce Chinese BBQ sauce ,1 tbsp hot water ,⅛ tsp cane sugar ,1 tbsp light soy sauce ,1 tsp chili oil ,½ tsp rice vinegar ,¼ tsp roasted sesame oil ,1 tbsp sliced scallions ,1 tsp roasted sesame seeds ,¼ tsp minced garlic | [Sesame paste dipping sauce] 2 tbsp sesame paste ,2 tbsp ponzu ,1 tbsp hot water ,1 tbsp oyster sauce ,½ tsp black vinegar ,3 tbsp sliced scallions ,1 tbsp minced garlic ,1 tbsp fried shallots ,1 tsp chili garlic crunch | [Basic soy and vinegar dipping sauce] 1 tbsp regular soy sauce ,1 tbsp black vinegar ,2 tsp chili oil ,2 tbsp sliced green onions ,1 tbsp minced cilantro ,chopped red chilis optional","[Goma garlic dipping sauce instructions] 1) In a mixing bowl, combine all the ingredients: 2 tbsp goma , 1 tbsp ponzu , 1 tbsp oyster sauce , ½ tsp black vinegar , ½ tsp minced garlic , 1 tbsp fried shallots , 2 tsp chili garlic crunch , and 2 tbsp sliced scallions . | 2) Mix thoroughly. Taste the sauce and make adjustments if necessary, then serve. | [Taiwanese dipping sauce instructions] 1) In a mixing bowl, combine 2 tbsp shacha sauce , 1 tbsp hot water , and ⅛ tsp cane sugar . Mix until the sugar is dissolved and the shacha is thinned out. | 2) Add the rest of the ingredients: 1 tbsp light soy sauce , 1 tsp chili oil , ½ tsp rice vinegar , ¼ tsp roasted sesame oil 1 tbsp sliced scallions , 1 tsp roasted sesame seeds , and ¼ tsp minced garlic . | 3) Mix until completely combined. Taste the sauce and make adjustments if necessary. Serve immediately. | [Sesame paste dipping sauce instructions] 1) In a mixing bowl, combine all the ingredients: 2 tbsp sesame paste , 2 tbsp ponzu , 1 tbsp hot water , 1 tbsp oyster sauce , ½ tsp black vinegar , 3 tbsp sliced scallions , 1 tbsp minced garlic , 1 tbsp fried shallots , and 1 tsp chili garlic crunch . | 2) Mix thoroughly. | 3) Taste the sauce and adjust if necessary, then serve. | [Basic soy and vinegar dipping sauce instructions] 1) In a mixing bowl, combine all the ingredients: 1 tbsp regular soy sauce , 1 tbsp black vinegar , 2 tsp chili oil , 2 tbsp sliced green onions , 1 tbsp minced cilantro , and chopped red chilis . | 2) Mix thoroughly. | 3) Taste the sauce and make adjustments if necessary then serve.",https://cdn.shortpixel.ai/spai2/q_glossy+ret_img+to_auto/www.hungryhuy.com/wp-content/uploads/hot-pot-sauces-icon.jpg,"Dipping Sauces, Ingredients, seasoning","Asian, Chinese, Taiwanese","easy sauce, haidilao, little sheep, shabu shabu",,,,
How to Cook Jasmine Rice on the Stovetop,Fluffy and perfectly cooked jasmine rice is at your fingertips and you only need a pot and a stovetop! This recipe will get you aromatic and soft jasmine rice in under 30 minutes.,https://www.hungryhuy.com/how-to-cook-jasmine-rice/,2m,20m,22m,2 servings,"[1 cup serving (enough for ~1 person)] 480 g filtered water plus tap water for washing ,205 g jasmine rice | [2 cup serving (enough for ~2 people)] 780 g filtered water plus tap water for washing ,410 g jasmine rice | [Ingredients] water for rinsing ,205 g jasmine rice ,8 fl oz filtered water","[Instructions] 1) Measure the filtered water and set aside. Measure the rice then pour into a strainer. | 2) In the sink under running water, briefly wash the rice in the strainer until the water turns clear. | 3) Add the washed rice and water into a saucepot. Level the rice with your hands so it’s an even layer. | 4) Put the pot on the stove and heat to medium-high heat. Bring to a boil and cook for about 4 minutes and 30 seconds or until you begin to see the water level get very close to matching the rice. This happens because the rice soaks the water, and the water evaporates a bit. | 5) Lower the heat to low and simmering, put the lid on the pot, and cook for 10 minutes. | 6) Turn off the stove, and allow it to rest for 5 minutes covered. (Please excuse my ill-fitting lid.) | 7) Uncover the pot. Here's what it should look like fully cooked. | 8) Use a rice paddle or a fork to fluff up the rice, and serve immediately. | [Instructions] 1) Use a dry measuring cup (or scale) to measure out the Jasmine rice and add to a strainer. | 2) Wash the rice under running water until the wash off water turns clear. Use your fingers to move around the rice so each grain gets clean. | 3) Add the clean rice into the rice cooker pot and add the filtered water. Use your hands to even out the top of the rice so it is level. | 4) Place the pot back into the rice cooker and close the lid. Follow the instructions on your rice cooker as deemed for Jasmine or long grain rice. I typically use my rice cooker's ""normal"" setting. | 5) Once the rice is finished, leave the lid on for another 5 minutes to reduce any leftover liquid and allow the rice grains to plump up more. | 6) Open the lid and use a paddle to fluff up the rice. Serve immediately.",https://cdn.shortpixel.ai/spai2/q_glossy+ret_img+to_auto/www.hungryhuy.com/wp-content/uploads/jasmine-rice-bowl-sq.jpg,"Ingredients, Side Dish, Sides",Asian,long grain rice,374.13 kcal,5.0,5.0,6.0
Jasmine Rice in a Rice Cooker,"Jasmine rice is super easy to make using a rice cooker, you just need to know the proper rice to water ratio.",https://www.hungryhuy.com/jasmine-rice-in-rice-cooker/,3m,60m,63m,2 servings,"[Ingredients] 205 g Jasmine rice ,240 g filtered water plus tap water for washing","[Instructions] 1) Measure 205 g Jasmine rice and rinse in a strainer under running water until it runs clear. | 2) Place the rinsed rice into the rice cooker pot. | 3) Add the 240 g filtered water and use clean hands to level out the surface of the rice. | 4) Close the rice cooker lid and use the setting for white rice or Jasmine rice based on the instructions of your rice cooker. Start the timer. Do not open or interrupt the rice cooker while it’s cooking. | 5) Once the rice is done, leave the cooker closed for an additional 5 minutes. Here's how it should look in the pot once finished. | 6) Open the lid and fluff the rice with a rice paddle. Serve immediately. | 7) For leftovers, place the rice in a food storage container with a lid. Keep in the fridge for up to three days. To reheat leftover rice, read my guide.",https://cdn.shortpixel.ai/spai2/q_glossy+ret_img+to_auto/www.hungryhuy.com/wp-content/uploads/jasmine-rice-cooker-recipe.jpg,"Dinner, Main Course, Side Dish",Asian,"easy meal, meal prep",374.13 kcal,,,
Snowskin Mooncake / Bánh Trung Thu Dẻo,Learn how to make homemade bánh trung thu for the next Mid Autumn Festival.,https://www.hungryhuy.com/snowskin-mooncakes/,45m,1m,61m,10 mooncakes,"[Ingredients] 170 g water ,37.5 g white cane sugar ,100 g cooked glutinous rice flour plus more for rolling and assembly ,1 drop pomelo flower extract optional ,250 g filling of your choice","[Simple syrup] 1) In a saucepot over medium heat, combine the 170 g water and 37.5 g white cane sugar . Stir to help the sugar dissolve. Once it starts to bowl, remove the pot from the heat and let it sit until slightly cool to the touch. | [Mooncake dough] 1) In a large mixing bowl, pour the simple syrup and gradually add the 100 g cooked glutinous rice flour to combine. Option to add in 1 drop pomelo flower extract if you prefer. | 2) Continue to mix until all the flour is incorporated. The dough should feel slightly tacky and soft. Cover with a hand towel and let the dough rest for 15 minutes. | 3) Sprinkle flour on a cutting board, place the dough in the center, and sprinkle more flour on top of the dough. | 4) Knead the dough by taking the heel of your hand and pushing the dough in an upward motion. Partially fold the top half over the center, rotate the dough 45°F, and repeat. Sprinkle more rice flour on the dough as necessary. | 5) Knead the dough with your hands until the dough has a smooth surface and is able to hold its shape. It will still be slightly sticky. NOTE: We added about 62 grams (or 2.2 oz) of extra rice flour during kneading. Our ball of dough weighed in at 310 grams total (this can change depending on how much rice flour you end up kneading into the dough). | [Assembling mooncakes] 1) Use a weighted scale to measure the dough and 250 g filling of your choice . For one 75-gram mooncake mold, we prefer the ratio of 30 grams of dough to 25 grams of filling. This should make 6-10 small mooncakes depending on the weight of your dough. TIP: Once you separate the portions of dough and filling, place them on silicone baking sheets to prevent them from sticking on any surface. Place a hand towel over them to prevent them from drying out. | 2) Flour your hands and roll the dough into a ball. Make sure to dust your hands with flour throughout this process. Your hands should not be sticking to the dough. You can also use food-safe gloves. | 3) Flatten the ball onto the board or your palm. | 4) Use your pointer fingers and thumbs to gently enlarge the circle, focusing on pressing the edges. | 5) Roll the paste into a dough and flatten slightly into a disk. The slightly flattened shape will make it easier to wrap. | 6) Place filling onto the center of the flattened dough circle. | 7) With your pointer finger and thumb on your dominant hand, make a circle. Place the skin and filling over the circle. | 8) Use your fingers to gently wrap the dough skin over the ball of filling. | 9) Make sure to remove all the air bubbles and wrap it completely. | 10) Gently pinch the top so the dough closes over the ball and sticks to itself. Place the ball of dough in your palms and gently roll to reinforce the ball shape. | 11) Sprinkle the ball with some flour, focusing on the top of the ball that the mold is going to impress. | 12) Flour the molds and remove excess by turning it upside down and gently tapping. | 13) Place the ball on the cutting board, seam-side down. Place the mold above and firmly and evenly press for a few seconds. Remove the mold from the mooncake. | 14) Gently brush off the excess flour on top. | 15) You can serve them immediately or let the snow skin mooncakes rest on the counter, uncovered for 1-hour to get a slightly firm texture.",https://cdn.shortpixel.ai/spai2/q_glossy+ret_img+to_auto/www.hungryhuy.com/wp-content/uploads/mooncake-recipe-icon.jpg,"Dessert, Snack","Asian, Vietnamese","celebration, mid autumn festival, traditional",119 kcal,,,
